JD,Resume,CosineSimilarity
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-100300150b4718c4-5f46-493a-8c99-1b2578e6d3ea.json,0.31236526
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-10186968e57d7d9b-7a0f-4048-b0e1-16b5a1e0b9c6.json,0.36424083
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-10219099a928e64b-b34f-4278-856a-ad649b46fb4c.json,0.25273222
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-10344379f764a10d-e9b6-4924-9614-25eb5f199c1c.json,0.357887
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-1054958511ccd2b9-7d6e-4383-b95a-1371f2b4cc1f.json,0.4396221
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-10554236ab1bde09-5600-445d-8e49-395ff5ab6bf8.json,0.25857878
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-10624813b258dd17-ef08-416f-85f1-8a23a847fb1f.json,0.4676934
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-10659182ab3f8c5e-e2c5-4521-ab40-e61d5d480682.json,0.32662794
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-10674770d69b2781-a583-4c29-b388-719ee0bc0bf3.json,0.29988813
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-10712803f9d7b440-51a8-484a-a70d-4336633d0156.json,0.38432074
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-108184787fd28030-bc5a-438d-8d45-3c5792b04a06.json,0.44134128
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-12022566b9849356-f981-46b1-b9a7-5ef6d5b3519e.json,0.20486055
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-11759079fc142b0a-4bf1-454b-ae63-353abc2e10bb.json,0.35763577
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-11773767876d4ede-cad0-4009-88f0-b4b40430b97b.json,0.40924057
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-1181387293e69ed3-5f8d-4cfb-8ff6-5cfaba281e14.json,0.5273565
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-1118821809cb107d-927a-4135-a883-fe98ac65e112.json,0.47209555
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-111741879a783ba1-c78e-4234-91ef-ba9717670357.json,0.25370297
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-114906735df8c260-f742-424e-9bec-57ab9a72e575.json,0.30247486
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-1144176413397247-82a7-4c10-ba3d-3397640144ba.json,0.38451564
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-111972621805703d-1939-44d1-9cc5-d0bcee095385.json,0.0043556495
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-1167615153aa1542-654b-4541-944b-8fd3aeb2a62d.json,0.464395
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-11163645307c773e-75f2-46f8-bdd6-b695782f53dd.json,0.44453683
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-10985403aaf75f54-6637-4fd0-9953-fd2ba9f9fd24.json,0.10253259
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-10953078f32c4e7d-8ba9-4d79-95a2-9e169126f203.json,0.25350195
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-21847415abb6ca68-ab8b-4db8-bd0c-5973ab6d9b43.json,0.4004597
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-21629057e992969f-a265-4b15-a902-16ccd7e0991e.json,0.350765
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-21298336070a3eb6-065b-4bff-9250-1f49dcca5527.json,0.33260316
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-20981299f342648e-6286-4c72-8a6d-3d6b8aa6d56e.json,0.33903614
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-2056655018028b39-bb8e-4284-a2cf-34c4ba4c18f4.json,0.46678352
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-196121671e558ab3-21de-48bf-b427-c6abc8e253da.json,0.32444862
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-20882041c4eaa9d4-2221-44a2-828b-5c57285743ad.json,0.33995897
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-2103802223ff5062-1a94-437a-8c3c-80fa83374b0b.json,0.52681786
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-1955306705dfea92-387b-4fa2-8740-0e5946e780f1.json,0.47714487
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-19396040d7ab41cc-e5d2-465d-8925-8be61d123169.json,0.4549061
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-19397727228c1b35-ab73-4c61-a37a-b681bd083adb.json,0.2773615
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-191242582b46d06a-75bf-44bf-a72c-db9c93ef3f3f.json,0.3655257
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-18753367e9167e16-8d1f-491b-a552-51e66225935b.json,0.32187882
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-17108676c61b0e1e-c252-47a5-b005-7f205d7e921a.json,0.3342198
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-1710300027222aa7-b13d-4c3c-a1de-6dedddf53b6f.json,0.40163642
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-179265461e113c61-4094-4624-a4ec-3dbfee4043c0.json,0.3641775
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-17488801bc50d2e1-536a-4b42-bf97-60c28aaa05bd.json,0.2427367
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-170438229cc13d1c-a183-45b8-9266-d160e874a921.json,0.31945878
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-1691111566261104-4926-4c08-8c53-ca104152b295.json,0.24860266
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-15941675f70b3ca4-2304-4a86-a148-41e1411b807b.json,0.2066476
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-168032152c27e756-385a-4f8d-ae1d-46cdfa3c174a.json,0.43464467
JobDescription-5b7d9cc1-fa90-46c7-ab59-409e95cf959b.json,Resume-15546686b9ed7817-2e71-45e4-b0f9-d7a0bf26ec30.json,0.15101342
